nome,lista,link
ADI 2605,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66079&amp;data=10/10/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=O&amp;lista=LISTA4
ADI 4820,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=65120&amp;data=20/09/2018&amp;ministro=MIN.DIASTOFFOLI&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 3785,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=64601&amp;data=20/09/2018&amp;ministro=MIN.DIASTOFFOLI&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 5111,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=64756&amp;data=20/09/2018&amp;ministro=MIN.DIASTOFFOLI&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA2
ADI 5257,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=65139&amp;data=20/09/2018&amp;ministro=MIN.DIASTOFFOLI&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA2
ADI 4613,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=65279&amp;data=20/09/2018&amp;ministro=MIN.DIASTOFFOLI&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA4
ADI 3418,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=63702&amp;data=20/09/2018&amp;ministro=MIN.DIASTOFFOLI&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 4577,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=63583&amp;data=20/09/2018&amp;ministro=MIN.DIASTOFFOLI&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 5024,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=65100&amp;data=20/09/2018&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 3863,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=63919&amp;data=20/09/2018&amp;ministro=MIN.EDSONFACHIN&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA3
